song,artist,peak_position,weeks_on_chart,date_of_charting
We Run The Night,Havana Brown Featuring Pitbull,26,22,9/8/2012
Throw That,Slaughterhouse Featuring Eminem,98,1,9/8/2012
Wanted You More,Lady Antebellum,34,5,9/15/2012
Postcard From Paris,The Band Perry,60,17,9/15/2012
My Homies Still,Lil Wayne Featuring Big Sean,38,13,9/15/2012
Stronger (What Doesn't Kill You),Kelly Clarkson,1,37,9/15/2012
Tongue Tied,Grouplove,42,20,9/22/2012
Chasing The Sun,The Wanted,50,15,9/22/2012
Settle Down,No Doubt,34,8,9/22/2012
Snap Backs & Tattoos,Driicky Graham,73,13,9/22/2012
Wild Ones,Flo Rida Featuring Sia,5,36,9/22/2012
Both Of Us,B.o.B Featuring Taylor Swift,18,19,9/22/2012
The Wind,Zac Brown Band,70,11,9/22/2012
Promises,NERO,70,10,9/22/2012
"Work Hard, Play Hard",Wiz Khalifa,17,20,9/22/2012
It's Time,Glee Cast,95,1,9/29/2012
That's Why I Pray,Big & Rich,82,10,9/29/2012
This Kiss,Carly Rae Jepsen,86,1,9/29/2012
Oh Love,Green Day,97,4,9/29/2012
Time Is Love,Josh Turner,44,25,9/29/2012
Scream,Usher,9,21,9/29/2012
Drive By,Train,10,36,9/29/2012
Starships,Nicki Minaj,5,31,9/29/2012
Ronan,Taylor Swift,16,2,9/29/2012
Bag Of Money,"Wale Featuring Rick Ross, Meek Mill & T-Pain",64,13,10/6/2012
Glad You Came,The Wanted,3,37,10/6/2012
Nobody's Perfect,J. Cole Featuring Missy Elliott,61,19,10/6/2012
Heart Skips A Beat,Olly Murs Featuring Chiddy Bang,96,2,10/6/2012
Let's Go,Calvin Harris Featuring Ne-Yo,17,20,10/6/2012
5-1-5-0,Dierks Bentley,33,20,10/6/2012
Beautiful,Carly Rae Jepsen Featuring Justin Bieber,87,1,10/6/2012
Burn It Down,Linkin Park,30,23,10/6/2012
I Don't Like,Chief Keef Featuring Lil Reese,73,3,10/13/2012
Heart Attack,Trey Songz,35,26,10/13/2012
Dark Side,Kelly Clarkson,42,15,10/13/2012
Tonight (Best You Ever Had),John Legend Featuring Ludacris,79,12,10/13/2012
Why Ya Wanna,Jana Kramer,50,22,10/13/2012
Angel Eyes,Love And Theft,32,20,10/13/2012
To The World,"Kanye West, R. Kelly",70,2,10/13/2012
Come Over,Kenny Chesney,23,20,10/13/2012
For You,Keith Urban,55,18,10/13/2012
Enough Of No Love,Keyshia Cole Featuring Lil Wayne,84,9,10/13/2012
The Scientist,Glee Cast,91,1,10/20/2012
Lover Of The Light,Mumford & Sons,97,1,10/20/2012
Lover's Eyes,Mumford & Sons,85,2,10/20/2012
What Makes You Beautiful,One Direction,4,34,10/20/2012
We Are Young,fun. Featuring Janelle Monae,1,42,10/20/2012
Lemme See,Usher Featuring Rick Ross,46,20,10/20/2012
Ghosts That We Knew,Mumford & Sons,88,3,10/27/2012
Over,Blake Shelton,43,18,10/27/2012
Just What I Am,Kid Cudi Featuring King Chip,74,2,10/27/2012
Cowboys And Angels,Dustin Lynch,40,22,10/27/2012
Shinin' On Me,Jerrod Niemann,92,7,10/27/2012
Holland Road,Mumford & Sons,84,3,10/27/2012
Where Have You Been,Rihanna,5,26,10/27/2012
Truck Yeah,Tim McGraw,57,16,11/3/2012
Amen,Meek Mill Featuring Drake,57,18,11/3/2012
Hello,Karmin,62,8,11/3/2012
State Of Grace,Taylor Swift,13,1,11/3/2012
She's So Mean,matchbox twenty,40,17,11/3/2012
Whispers In The Dark,Mumford & Sons,81,4,11/3/2012
Pontoon,Little Big Town,22,20,11/3/2012
Babel,Mumford & Sons,60,5,11/10/2012
I Almost Do,Taylor Swift,65,1,11/10/2012
Want U Back,Cher Lloyd,12,20,11/10/2012
Fade Into You,Sam Palladio & Clare Bowen,92,1,11/10/2012
All Too Well,Taylor Swift,80,1,11/10/2012
Stay Stay Stay,Taylor Swift,91,1,11/10/2012
No Lie,2 Chainz Featuring Drake,24,26,11/17/2012
I Won't Give Up,Jason Mraz,8,44,11/17/2012
Numb,Usher,69,7,11/17/2012
Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",13,32,11/24/2012
I Can Only Imagine,David Guetta Featuring Chris Brown & Lil Wayne,44,14,11/24/2012
Give Your Heart A Break,Demi Lovato,16,32,11/24/2012
Payphone,Maroon 5 Featuring Wiz Khalifa,2,31,12/1/2012
2 Reasons,Trey Songz Featuring T.I.,43,20,12/1/2012
Dive In,Trey Songz,77,12,12/1/2012
Your Body,Christina Aguilera,34,9,12/1/2012
Hard To Love,Lee Brice,27,23,12/1/2012
Put It Down,Brandy Featuring Chris Brown,65,14,12/1/2012
Wide Awake,Katy Perry,2,26,12/1/2012
Lovin' You Is Fun,Easton Corbin,57,20,12/1/2012
Stars,Grace Potter & The Nocturnals,95,1,12/8/2012
Titanium,David Guetta Featuring Sia,7,33,12/8/2012
50 Ways To Say Goodbye,Train,20,20,12/8/2012
Pound The Alarm,Nicki Minaj,15,18,12/8/2012
I Found You,The Wanted,89,2,12/8/2012
Seven Nation Army,Melanie Martinez,86,1,12/8/2012
Just A Fool,Christina Aguilera With Blake Shelton,71,2,12/8/2012
Stars,Amanda Brown,97,1,12/8/2012
A Thousand Years (Part 2),Christina Perri Featuring Steve Kazee,53,3,12/15/2012
Whistle,Flo Rida,1,29,12/15/2012
Fastest Girl In Town,Miranda Lambert,47,19,12/15/2012
Take A Little Ride,Jason Aldean,12,20,12/15/2012
Blown Away,Carrie Underwood,20,22,12/15/2012
Too Close,Melanie Martinez,94,1,12/15/2012
Are You Happy Now?,Cassadee Pope,95,1,12/15/2012
Good Time,Owl City & Carly Rae Jepsen,8,24,12/22/2012
Come Wake Me Up,Rascal Flatts,52,20,12/22/2012
Pop That,"French Montana Featuring Rick Ross, Drake, Lil Wayne",36,22,12/22/2012
Everybody Talks,Neon Trees,6,39,12/22/2012
I Want To Know What Love Is,Terry McDermott,84,1,12/22/2012
Let It Go,Wiz Khalifa Featuring Akon,87,1,12/22/2012
Somewhere Over The Rainbow,Nicholas David,96,1,12/22/2012
Let It Be,Terry McDermott,70,1,12/29/2012
My Life,50 Cent Featuring Eminem & Adam Levine,27,3,12/29/2012
Finally Found You,Enrique Iglesias Featuring Sammy Adams,24,14,12/29/2012
Dance For You,Beyonce,78,15,12/29/2012
Stupid Boy,Cassadee Pope,40,1,12/29/2012
Birthday Song,2 Chainz Featuring Kanye West,47,20,1/5/2013
Representin',Ludacris Featuring Kelly Rowland,97,4,1/5/2013
The One That Got Away,Jake Owen,51,20,1/5/2013
Over You,Cassadee Pope,25,2,1/5/2013
Cry,Cassadee Pope,60,1,1/5/2013
Turn On The Lights,Future,50,20,1/5/2013
Rock Me,One Direction,98,1,1/12/2013
Oath,Cher Lloyd Featuring Becky G,73,2,1/12/2013
My Moment,"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",89,7,1/12/2013
King Wizard,Kid Cudi,91,2,1/12/2013
Ice,Kelly Rowland Featuring Lil Wayne,88,12,1/19/2013
Kiss Tomorrow Goodbye,Luke Bryan,29,20,1/19/2013
Young & Gettin' It,Meek Mill Featuring Kirko Bangz,86,10,1/19/2013
Creepin',Eric Church,56,20,1/19/2013
Did It For The Girl,Greg Bates,66,16,1/19/2013
Blow Me (One Last Kiss),P!nk,5,27,1/19/2013
El Cerrito Place,Kenny Chesney,72,13,1/19/2013
Don't Wake Me Up,Chris Brown,10,28,1/19/2013
As Long As You Love Me,Justin Bieber Featuring Big Sean,6,29,1/19/2013
On My Own,Samantha Barks,97,1,1/19/2013
Feel Again,OneRepublic,36,20,1/26/2013
Ready Or Not,Bridgit Mendler,49,13,1/26/2013
The Moment I Knew,Taylor Swift,64,1,1/26/2013
I Dreamed A Dream,Anne Hathaway,69,3,1/26/2013
Live While We're Young,One Direction,3,16,2/2/2013
Long Live A$AP,A$AP Rocky,86,1,2/2/2013
Lights,Ellie Goulding,2,57,2/2/2013
Thinkin Bout You,Frank Ocean,32,28,2/2/2013
Diced Pineapples,Rick Ross Featuring Wale & Drake,71,16,2/2/2013
Between The Raindrops,Lifehouse Featuring Natasha Bedingfield,79,2,2/2/2013
We Are Never Ever Getting Back Together,Taylor Swift,1,24,2/2/2013
Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,29,20,2/9/2013
Rest Of My Life,Ludacris Featuring Usher & David Guetta,72,10,2/9/2013
Til My Last Day,Justin Moore,51,20,2/9/2013
Bad Ass,Kid Ink Featuring Meek Mill & Wale,90,1,2/9/2013
Too Close,Alex Clare,7,44,2/9/2013
Celebration,"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",81,12,2/9/2013
Let Me Love You (Until You Learn To Love Yourself),Glee Cast,91,1,2/16/2013
As Long As You Love Me (Acoustic),Justin Bieber,98,1,2/16/2013
Yolo,The Lonely Island Featuring Adam Levine & Kendrick Lamar,60,1,2/16/2013
Take A Walk,Passion Pit,84,22,2/16/2013
No Worries,Lil Wayne Featuring Detail,29,22,2/16/2013
Bellas Finals: Price Tag / Don't You (Forget About Me)...,The Barden Bellas,85,6,2/16/2013
Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...,"The Barden Bellas, The Treblemakers & The BU Harmonics",86,5,2/16/2013
Beer Money,Kip Moore,51,20,2/16/2013
Call Me Maybe,Carly Rae Jepsen,1,50,2/16/2013
Clique,"Kanye West, Jay-Z, Big Sean",12,22,2/16/2013
Let There Be Cowgirls,Chris Cagle,96,3,2/23/2013
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,6,28,2/23/2013
Nothing Like Us,Justin Bieber,59,2,2/23/2013
Crying On A Suitcase,Casey James,88,9,3/2/2013
How Country Feels,Randy Houser,42,20,3/2/2013
She Don't Put It Down,Joe Budden Featuring Lil Wayne & Tank,96,1,3/2/2013
Begin Again,Taylor Swift,7,20,3/2/2013
Somebody That I Used To Know,Gotye Featuring Kimbra,1,59,3/2/2013
Every Storm (Runs Out Of Rain),Gary Allan,26,20,3/2/2013
Southern Comfort Zone,Brad Paisley,54,20,3/2/2013
I Cry,Flo Rida,6,21,3/2/2013
Goodbye In Her Eyes,Zac Brown Band,48,20,3/9/2013
Die Young,Ke$ha,2,22,3/9/2013
Anything Could Happen,Ellie Goulding,47,20,3/9/2013
Hold On,Alabama Shakes,93,2,3/9/2013
The A Team,Ed Sheeran,16,33,3/9/2013
Ball,T.I. Featuring Lil Wayne,50,20,3/16/2013
Don't Stop The Party,Pitbull Featuring TJR,17,20,3/16/2013
It's A Beautiful Day,Michael Buble,94,1,3/16/2013
Guap,Big Sean,71,12,3/16/2013
Skyfall,Adele,8,20,3/16/2013
Va Va Voom,Nicki Minaj,22,20,3/16/2013
Swimming Pools (Drank),Kendrick Lamar,17,29,3/16/2013
Remember You,Wiz Khalifa Featuring The Weeknd,63,16,3/23/2013
Wanted,Hunter Hayes,16,46,3/23/2013
Tip It On Back,Dierks Bentley,66,16,3/23/2013
As Your Friend,Afrojack Featuring Chris Brown,88,3,3/23/2013
Don't Judge Me,Chris Brown,67,20,3/30/2013
Buzzkill,Luke Bryan,74,2,3/30/2013
So Many Girls,"DJ Drama Featuring Wale, Tyga & Roscoe Dash",90,1,3/30/2013
Adorn,Miguel,17,33,3/30/2013
Hall Of Fame,The Script Featuring will.i.am,25,25,3/30/2013
Some Nights,fun.,3,56,3/30/2013
Wicked Games,The Weeknd,53,20,3/30/2013
Little Things,One Direction,33,18,3/30/2013
Hey Porsche,Nelly,42,4,3/30/2013
Gold,Britt Nicole,83,3,3/30/2013
Better Dig Two,The Band Perry,28,20,3/30/2013
Love Sosa,Chief Keef,56,14,3/30/2013
Merry Go 'round,Kacey Musgraves,63,15,4/6/2013
Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,5,24,4/6/2013
Who Booty,Jonn Hart Featuring IamSU!,66,15,4/6/2013
Stubborn Love,The Lumineers,70,15,4/6/2013
Tornado,Little Big Town,51,20,4/6/2013
The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,40,20,4/6/2013
Dope,Tyga Featuring Rick Ross,68,10,4/13/2013
Girl On Fire,Alicia Keys Featuring Nicki Minaj,11,30,4/13/2013
I'm Different,2 Chainz,27,20,4/13/2013
Home,Phillip Phillips,6,40,4/13/2013
The Phoenix,Fall Out Boy,80,1,4/13/2013
Pusher Love Girl,Justin Timberlake,64,2,4/13/2013
Poetic Justice,Kendrick Lamar Featuring Drake,26,24,4/20/2013
Whiskey,Jana Kramer,94,2,4/20/2013
Try,P!nk,9,24,4/20/2013
Somebody's Heartbreak,Hunter Hayes,54,20,4/20/2013
One More Night,Maroon 5,1,42,4/20/2013
One Way Or Another (Teenage Kicks),One Direction,13,8,4/20/2013
Pom Poms,Jonas Brothers,60,1,4/20/2013
Catch My Breath,Kelly Clarkson,19,24,4/20/2013
Gangnam Style,PSY,2,31,4/20/2013
C'mon,Ke$ha,27,16,4/20/2013
Madness,Muse,45,29,4/20/2013
Changed,Rascal Flatts,73,8,4/27/2013
Kiss You,One Direction,46,16,4/27/2013
Just Keep Breathing,WE the Kings,92,1,4/27/2013
One Of Those Nights,Tim McGraw,32,20,4/27/2013
Don't Rush,Kelly Clarkson Featuring Vince Gill,87,3,4/27/2013
Accidental Racist,Brad Paisley Featuring LL Cool J,77,1,4/27/2013
Fall Down,will.i.am Featuring Miley Cyrus,58,1,5/4/2013
Little Talks,Of Monsters And Men,20,48,5/4/2013
Neva End,Future,52,20,5/4/2013
If I Lose Myself,OneRepublic,74,5,5/4/2013
It's Time,Imagine Dragons,15,47,5/11/2013
Two Black Cadillacs,Carrie Underwood,41,20,5/11/2013
All Around The World,Justin Bieber Featuring Ludacris,22,9,5/11/2013
All Gold Everything,Trinidad James,36,20,5/11/2013
Show Out,Juicy J Featuring Big Sean & Young Jeezy,75,8,5/11/2013
I Can Take It From There,Chris Young,63,12,5/11/2013
Freaks,French Montana Featuring Nicki Minaj,77,7,5/18/2013
F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",8,27,5/18/2013
Memories Back Then,"Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens",88,2,5/18/2013
Sexy People (The Fiat Song),Arianna Featuring Pitbull,97,1,5/18/2013
I Hit It First,Ray J Featuring Bobby Brackins,51,3,5/18/2013
Don't You Worry Child,Swedish House Mafia Featuring John Martin,6,33,5/18/2013
I Will Wait,Mumford & Sons,12,39,5/18/2013
R.I.P.,Young Jeezy Featuring 2 Chainz,58,14,5/25/2013
Scream & Shout,will.i.am & Britney Spears,3,24,5/25/2013
Battle Scars,Lupe Fiasco & Guy Sebastian,71,20,5/25/2013
Sweet Nothing,Calvin Harris Featuring Florence Welch,10,27,5/25/2013
Tonight I'm Getting Over You,Carly Rae Jepsen Featuring Nicki Minaj,90,1,5/25/2013
If I Didn't Have You,Thompson Square,49,20,6/1/2013
Carry On,fun.,20,20,6/1/2013
Pour It Up,Rihanna,19,20,6/1/2013
Give It All We Got Tonight,George Strait,43,20,6/1/2013
I Drive Your Truck,Lee Brice,47,20,6/1/2013
I Am Beautiful,Candice Glover,93,1,6/1/2013
A Little Party Never Killed Nobody (All We Got),"Fergie, Q-Tip & GoonRock",77,2,6/8/2013
Karate Chop (Remix),Future Featuring Lil Wayne,82,12,6/8/2013
"Heads Carolina, Tails California",Danielle Bradbery,91,1,6/8/2013
1994,Jason Aldean,52,11,6/8/2013
Sure Be Cool If You Did,Blake Shelton,24,20,6/8/2013
Daylight,Maroon 5,7,25,6/8/2013
Wings,Little Mix,79,9,6/15/2013
Kisses Down Low,Kelly Rowland,72,13,6/15/2013
Troublemaker,Olly Murs Featuring Flo Rida,25,20,6/15/2013
Clouds,Zach Sobiech,26,2,6/15/2013
Wit Me,T.I. Featuring Lil Wayne,80,2,6/15/2013
Grandpa (Tell Me 'Bout The Good Old Days),Danielle Bradbery,89,1,6/15/2013
Pirate Flag,Kenny Chesney,46,18,6/22/2013
Work,A$AP Ferg,100,2,6/22/2013
Can't Shake You,Gloriana,83,4,6/22/2013
Love And War,Tamar Braxton,57,20,6/22/2013
I Knew You Were Trouble,Michelle Chamuel,85,1,6/22/2013
Locked Out Of Heaven,Bruno Mars,1,36,6/22/2013
Molly,"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall",66,12,6/22/2013
Get Your Shine On,Florida Georgia Line,27,20,6/22/2013
Mama's Broken Heart,Miranda Lambert,20,20,6/22/2013
Levitate,Hadouken!,69,15,6/22/2013
Loveeeeeee Song,Rihanna Featuring Future,55,20,6/29/2013
Live It Up,Jennifer Lopez Featuring Pitbull,60,6,6/29/2013
Please Remember Me,Danielle Bradbery,91,1,6/29/2013
Turn The Page,The Swon Brothers,90,1,6/29/2013
Like Jesus Does,Eric Church,59,17,6/29/2013
Ready,Fabolous Featuring Chris Brown,93,8,6/29/2013
Who I Am,Danielle Bradbery,78,1,6/29/2013
I Got You,Jack Johnson,88,1,6/29/2013
Love Me,Lil Wayne Featuring Drake & Future,9,22,6/29/2013
Sad,Amber Carrington,92,1,6/29/2013
Danny's Song,The Swon Brothers,66,2,7/6/2013
Downtown,Lady Antebellum,29,20,7/6/2013
One,Usher & Michelle Chamuel,98,1,7/6/2013
Paper Doll,John Mayer,77,1,7/6/2013
I Can't Tell You Why,The Swon Brothers,99,1,7/6/2013
Why,Michelle Chamuel,92,1,7/6/2013
Born To Fly,Danielle Bradbery,75,1,7/6/2013
Maybe It Was Memphis,Danielle Bradbery,92,2,7/6/2013
I Knew You Were Trouble.,Taylor Swift,2,36,7/6/2013
Wild For The Night,A$AP Rocky Featuring Skrillex,80,16,7/13/2013
Bugatti,Ace Hood Featuring Future & Rick Ross,33,20,7/13/2013
Alive,Krewella,32,20,7/13/2013
Harlem Shake,Baauer,1,20,7/13/2013
New Slaves,Kanye West,56,2,7/13/2013
We Still In This B****,B.o.B Featuring T.I. & Juicy J,64,20,7/13/2013
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,16,7,7/20/2013
#thatPOWER,will.i.am Featuring Justin Bieber,17,16,7/20/2013
Suit & Tie,Justin Timberlake Featuring JAY Z,3,26,7/20/2013
More Than Miles,Brantley Gilbert,73,19,7/20/2013
Started From The Bottom,Drake,6,22,7/20/2013
Next To Me,Emeli Sande,25,20,7/20/2013
Feel This Moment,Pitbull Featuring Christina Aguilera,8,24,7/20/2013
Live For The Night,Krewella,100,1,7/20/2013
Don't Think They Know,Chris Brown Featuring Aaliyah,81,2,7/20/2013
High School,Nicki Minaj Featuring Lil Wayne,64,14,7/20/2013
Heart Attack,Demi Lovato,10,20,7/27/2013
Lego House,Ed Sheeran,42,16,7/27/2013
Highway Don't Care,Tim McGraw With Taylor Swift,22,20,7/27/2013
Black Skinhead,Kanye West,69,4,7/27/2013
Oceans,Jay Z Featuring Frank Ocean,83,1,7/27/2013
Crown,JAY-Z,100,1,7/27/2013
22,Taylor Swift,20,20,7/27/2013
"Bitch, Don't Kill My Vibe",Kendrick Lamar,32,21,7/27/2013
Picasso Baby,JAY-Z,91,1,7/27/2013
Ooh La La,Britney Spears,54,5,8/3/2013
People Like Us,Kelly Clarkson,65,10,8/3/2013
Here's To Never Growing Up,Avril Lavigne,20,15,8/3/2013
Gentleman,PSY,5,15,8/3/2013
Fine China,Chris Brown,31,16,8/3/2013
Miss Jackson,Panic! At The Disco Featuring Lolo,68,1,8/3/2013
Play Hard,David Guetta Featuring Ne-Yo & Akon,64,9,8/10/2013
Beat This Summer,Brad Paisley,46,20,8/10/2013
DONE.,The Band Perry,43,20,8/10/2013
I'm Out,Ciara Featuring Nicki Minaj,44,5,8/17/2013
Rich As F**k,Lil Wayne Featuring 2 Chainz,38,20,8/17/2013
Wagon Wheel,Darius Rucker,15,26,8/17/2013
Anywhere With You,Jake Owen,46,20,8/17/2013
Hey Pretty Girl,Kip Moore,41,20,8/17/2013
Jump Right In,Zac Brown Band,53,15,8/17/2013
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,13,26,8/17/2013
Hopeless Wanderer,Mumford & Sons,59,1,8/24/2013
Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",56,9,8/24/2013
Cruisin' For A Bruisin',"Ross Lynch, Grace Phipps And Jason Evigan",82,3,8/24/2013
Chloe (You're The One I Want),Emblem3,93,3,8/24/2013
What About Love,Austin Mahone,66,9,8/24/2013
Made In The USA,Demi Lovato,80,2,8/24/2013
Ho Hey,The Lumineers,3,62,8/24/2013
Bad,Wale Featuring Tiara Thomas Or Rihanna,21,26,8/24/2013
I Love It,Icona Pop Featuring Charli XCX,7,29,8/31/2013
Your Side Of The Bed,Little Big Town,96,1,8/31/2013
We Own The Night,The Wanted,94,1,8/31/2013
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,12,21,8/31/2013
Right Now,Rihanna Featuring David Guetta,50,9,8/31/2013
This Is Gospel,Panic! At The Disco,87,1,8/31/2013
When I Was Your Man,Bruno Mars,1,35,8/31/2013
Without Me,Fantasia Featuring Kelly Rowland & Missy Elliott,74,2,8/31/2013
Wildfire,John Mayer,85,3,9/7/2013
Helluva Night,Ludacris,96,1,9/7/2013
LoveHate Thing,Wale Featuring Sam Dew,89,8,9/7/2013
I Want Crazy,Hunter Hayes,19,20,9/7/2013
U.O.E.N.O.,Rocko Featuring Future & Rick Ross,20,20,9/7/2013
#Beautiful,Mariah Carey Featuring Miguel,15,16,9/7/2013
Beat It,Sean Kingston Featuring Chris Brown & Wiz Khalifa,52,18,9/7/2013
Crazy Kids,Ke$ha Featuring will.i.am Or Juicy J,40,13,9/7/2013
Rock N Roll,Avril Lavigne,91,1,9/14/2013
How Many Drinks?,Miguel,69,20,9/14/2013
Power Trip,J. Cole Featuring Miguel,19,29,9/14/2013
Acapella,Karmin,72,8,9/14/2013
No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",37,19,9/14/2013
Hail To The King,Avenged Sevenfold,83,3,9/14/2013
Oh Sweet Lorraine,Green Shoe Studio Featuring Jacob Colgan & Fred Stobaugh,42,1,9/14/2013
Blood On The Leaves,Kanye West,89,2,9/14/2013
Crash My Party,Luke Bryan,18,21,9/14/2013
Turn The Night Up,Enrique Iglesias,61,6,9/21/2013
Versace,Migos,99,1,9/21/2013
Come & Get It,Selena Gomez,6,22,9/21/2013
Goodbye Town,Lady Antebellum,80,11,9/21/2013
Body Party,Ciara,22,20,9/21/2013
Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,1,49,9/21/2013
The Other Side,Jason Derulo,18,21,9/21/2013
F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross,64,9,9/21/2013
Act Right,Yo Gotti Featuring Jeezy & YG,100,1,9/21/2013
Almost Is Never Enough,Ariana Grande & Nathan Sykes,82,2,9/21/2013
When I See This Bar,Kenny Chesney,84,7,9/21/2013
Popular Song,MIKA Featuring Ariana Grande,87,2,9/28/2013
Stay,Rihanna Featuring Mikky Ekko,3,32,9/28/2013
See You Again,Carrie Underwood,34,20,9/28/2013
Vivir Mi Vida,Marc Anthony,92,5,9/28/2013
Atlas,Coldplay,69,2,9/28/2013
I Do It,2 Chainz Featuring Drake & Lil Wayne,94,1,9/28/2013
Easy,Sheryl Crow,72,8,9/28/2013
Ain't Worried About Nothin,French Montana,63,13,9/28/2013
Baby I,Ariana Grande,21,3,9/28/2013
Reflektor,Arcade Fire,99,1,9/28/2013
Don't Drop That Thun Thun!,The FiNATTiCZ,35,10,9/28/2013
Beneath Your Beautiful,Labrinth Featuring Emeli Sande,34,14,9/28/2013
Wop,J. Dash,51,15,9/28/2013
Monster,Imagine Dragons,78,1,10/5/2013
You Make Me,Avicii,85,1,10/5/2013
Runnin' Outta Moonlight,Randy Houser,24,20,10/5/2013
This Is What It Feels Like,Armin van Buuren Featuring Trevor Guthrie,96,1,10/5/2013
Tapout,"Rich Gang Featuring Lil Wayne, Birdman, Future, Mack Maine, Nicki Minaj",44,20,10/5/2013
A Light That Never Comes,Linkin Park X Steve Aoki,65,1,10/5/2013
All Over The Road,Easton Corbin,51,20,10/5/2013
The Way,Ariana Grande Featuring Mac Miller,9,26,10/5/2013
Could It Be,Charlie Worsham,94,2,10/5/2013
Tuscan Leather,Drake,81,1,10/12/2013
Young And Beautiful,Lana Del Rey,22,21,10/12/2013
Too Much,Drake,64,1,10/12/2013
Wu-Tang Forever,Drake,52,3,10/12/2013
Come Thru,Drake,87,1,10/12/2013
American Girl,Bonnie McKee,87,6,10/12/2013
Own It,Drake,78,1,10/12/2013
Feds Watching,2 Chainz Featuring Pharrell,66,13,10/12/2013
"Gone, Gone, Gone",Phillip Phillips,24,30,10/12/2013
Same Love,Macklemore & Ryan Lewis Featuring Mary Lambert,11,30,10/19/2013
Bruises,Train Featuring Ashley Monroe,79,8,10/19/2013
Walking On Air,Katy Perry,34,1,10/19/2013
Gone,Kanye West Featuring Cam'ron & Consequence,18,1,10/19/2013
Little Bit Of Everything,Keith Urban,33,20,10/19/2013
I Need Your Love,Calvin Harris Featuring Ellie Goulding,16,25,10/19/2013
Don't Ya,Brett Eldredge,30,20,10/19/2013
Point At You,Justin Moore,53,19,10/19/2013
From Time,Drake Featuring Jhene Aiko,67,2,10/19/2013
Take Back The Night,Justin Timberlake,29,13,10/19/2013
Furthest Thing,Drake,56,2,10/19/2013
Hey Girl,Billy Currington,39,21,10/26/2013
Someone Else,Miley Cyrus,93,1,10/26/2013
Outta My Head,Craig Campbell,90,5,10/26/2013
Love Somebody,Maroon 5,10,21,10/26/2013
Loco,Enrique Iglesias Featuring Romeo Santos,80,4,10/26/2013
Redneck Crazy,Tyler Farr,29,20,10/26/2013
Drive,Miley Cyrus,87,1,10/26/2013
Cruise,Florida Georgia Line Featuring Nelly,4,54,10/26/2013
Sirens,Pearl Jam,76,1,10/26/2013
Make You Feel My Love,Glee Cast,84,1,10/26/2013
Heartbreaker,Justin Bieber,13,2,10/26/2013
Treasure,Bruno Mars,5,23,11/2/2013
Chinese Food,Alison Gold,29,1,11/2/2013
Just Give Me A Reason,P!nk Featuring Nate Ruess,1,36,11/2/2013
Round Here,Florida Georgia Line,28,20,11/9/2013
Miss Movin' On,Fifth Harmony,76,11,11/9/2013
Hold Tight,Justin Bieber,29,1,11/9/2013
Wait For A Minute,Tyga & Justin Bieber,68,1,11/9/2013
Best I Ever Had,Gavin DeGraw,75,5,11/9/2013
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,6,44,11/9/2013
Sweeter Than Fiction,Taylor Swift,34,1,11/9/2013
V.S.O.P.,K. Michelle,89,4,11/16/2013
Get Lucky,Daft Punk Featuring Pharrell Williams,2,29,11/16/2013
Venus,Lady Gaga,32,1,11/16/2013
Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,1,39,11/16/2013
Crooked Smile,J. Cole Featuring TLC,27,20,11/16/2013
True Love,P!nk Featuring Lily Allen,53,14,11/16/2013
Recovery,Justin Bieber,41,1,11/16/2013
Closer,Tegan And Sara,90,3,11/16/2013
Clarity,Zedd Featuring Foxes,8,33,11/16/2013
A Case Of You,James Wolpert,72,1,11/23/2013
Get Me Bodied,Beyonce,46,19,11/23/2013
Bad Day,Justin Bieber,53,1,11/23/2013
Parking Lot Party,Lee Brice,62,20,11/23/2013
It Goes Like This,Thomas Rhett,25,22,11/23/2013
Beautiful Pain,Eminem Featuring Sia,99,1,11/23/2013
All Kinds Of Kinds,Miranda Lambert,89,5,11/23/2013
Let Me Go,Avril Lavigne Featuring Chad Kroeger,78,2,11/23/2013
Give It 2 U,Robin Thicke Featuring Kendrick Lamar,25,12,11/23/2013
Night Train,Jason Aldean,26,20,11/30/2013
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,32,20,11/30/2013
